Straße;HausNr;Bemerkung;Name;Anzahl;Zeitbegrenzung
Ackerstraße;8;;Innenstadt / Worringer Platz;1;
Ackerstraße;150;;Arztpraxis;1;Mo. - Fr. 8 - 12:00
Ackerstraße;199;;Orthopädie Schuhtechnik;1;Mo. - Fr. 9 - 18:00
Adersstraße;;;LVA;3;Mo. - Fr. 7 - 14:00
Ahnfeldplatz;;;Einkaufszentrum;1;
Ahornallee;5 a;;Kindertagesstätte;1;Mo. - Fr. 7 - 16:00
Ahrensplatz;;;Flughafen / Bahnhof;2;
Aldekerkstraße;37;;Begegnungsstätte Diakonie;1;
Alte Landstraße;79;;Arztpraxis;1;Mo. - Fr. 7 - 19:00
Alte Landstraße;188 h;gegenüber;Einkaufszentrum;1;
Altenbrückstraße;15;gegenüber;Ärzte - Einkaufszentrum;1;
Am Falder;2;;Krankenhaus Elbroich;2;
Am Heerdter Krankenhaus;2;gegenüber Krankenhaus Eingang;Krankenhaus;2;
Am Kleinforst;;Parkplatz;Strandbad Süd;4;
Am Langen Weiher;6;gegenüber;Einkaufsbereich;2;Mo. - Fr. 9 - 18:00 - Sa. 9 - 14:00
Am Nordfriedhof;;Parkplatz;Nordfriedhof;2;
Am Pesch;26;;Seniorenwohnheim / Einkaufsbereich;1;
Am Pfaffenbusch;10;;Einkaufszentrum - Friedhof;1;
Am Püttkamp;;;Einkaufsbereich;1;Mo. - Fr. 7 - 19:00
Am Straußenkreuz;44;;Betreutes Wohnen;1;
Am Turnisch;11;Kastanienhöfe;Lebenshilfe;1;
Amalienstraße;4;;Krankenhaus / Seniorenwohnheim;1;
An Sankt Swidbert;1;;Einkaufszentrum;1;
Apollo-Platz;;Parkplatz;Apollo-Varieté;3;
Auf'm Hennekamp;45;;Technisches Rathaus;2;
Bagelstraße;96;;Ärztehaus;1;
Bahnhof Benrath;;;Bahnhof;7;
Bahnstraße;;Ecke Königsallee 92;Innenstadt - Kö;1;
Bastionstraße;1;;Praxis für Physiotherapie;1;Mo. - Do. 7 - 19:00 - Fr. 7 - 13:00
Bastionstraße;6;;Haus der Kirche;1;Mo. - Fr. 9 - 20:00
Bendemannstraße;15;Krankentransporte frei;DDA;1;7 - 19:00
Benderstraße;14;;Orthopädietechnik;1;
Benderstraße;80;;Einkaufsbereich;1;
Benrodestraße;96;;Rathaus Benrath;2;
Berger Allee;2;privat;Stadtmuseum;2;
Berliner Allee;2;Baustelle - nicht nutzbar;Praxis für Physiotherapie;1;Mo. - Do. 8 - 18:00 - Fr. 8 - 14:00
Berliner Allee;44;;Krankenkasse;2;Mo. - Fr. 8 - 17:00
Bilker Allee;183;;Praxis für Physiotherapie;1;Mo. - Fr. 9 - 19:00
Bilker Allee;55/57;;Praxis für Physiotherapie;2;8 - 19:00
Bilker Straße;7 - 9;;Kulturinstitute;4;
Bismarckstraße;90;;Gerhart-Hauptmann-Haus;1;
Bismarckstraße;99/101;;Radiologiepraxen / Dialysepraxis;5;Mo. - Fr. 6 - 21:00 - Sa. 6 - 15:00
Bleichstraße;;neben Schadowstraße 78;Einkaufsstraße;2;werktags 9 - 19:00
Blücherstraße;16;;Orthopädietechnik;1;Mo. - Fr. 8 - 18:00
Blücherstraße;26;;Praxis für Physiotherapie;1;Mo. - Fr. 11 - 18:00
Blücherstraße;61;;Praxis für Physiotherapie;1;Mo. - Fr. 9 - 12:00
Blumenstraße;7-9;gegenüber;Schadowarkaden;4;
Bongardstraße;1;;Innenstadt;1;
Bonner Straße;37;;Post;1;8 - 19:00
Börchemstraße;3;;Sanitätshaus;2;
Brehmstraße;9;;Einkaufsbereich / Arztpraxis;1;
Brinckmannstraße;5;gegenüber;Technisches Rathaus;2;
Brinckmannstraße;7;;Ausländeramt;2;Mo. - Fr. 7 - 16:00
Brunnenstraße;;;Orthopädietechnik;1;
Burggrafenstraße;;Feldmühleplatz;Gesundheitsamt;1;Mo. - Fr. 8 - 18:00
Burgplatz;1;;Verwaltungsgebäude / Burgplatz;2;
Burscheider Straße;22;;Kirche;1;
Burscheider Straße;29;;Praxis für Physiotherapie;2;
Cäcilienstraße;1;;Einkaufszentrum - Markt;2;
Calvinstraße;17;;Diakonie;1;8 - 18:00
Carlsplatz;6;;Altstadt;2;
Corneliusstraße;84;;Orthopädiegeschäft;1;Mo. - Fr. 9 - 19:00
Cranachstraße;35;;Verwaltungsnebenstelle;1;Mo. - Fr. 8 - 12:00
Degerstraße;34;;Kirche;1;Sa. 17 - 19:00 - So. 18 - 20:00
Degerstraße;62;;Betreutes Wohnen / Arztpraxis;1;
Deikerstraße ;5 e;gegenüber;Fashion-House;1;8 - 18:00
Dickhausweg ;;;Marktplatz;1;
Drakestraße;1;;Einkaufsbereich;1;
Dreherstraße;19;;Einkausfsstraße;1;Mo. - Fr. 7:30 - 16:30
Duisburger Straße;32;;Einkaufszentrum;1;Mo. - Fr. 9 - 22:00
Düsselstraße;24;;Praxis für Physiotherapie;1;Mo. - Fr. 8 - 20:00
Ehrenstraße;30;;Club 68;2;
Ehrenstraße;38;;Club 68;1;
Eisenstraße;112;;Arztpraxis / allg. Bedarf;1;
Elisabethstraße;109;;Arztpraxis;1;Mo. - Fr. 7 - 18:00
Eller-Mitte;;Parkplatz;S-Bahnhof / Einkaufsbereich;3;
Emanuel-Leutze-Straße;;;öffentlicher Parkplatz;1;
Emil-Barth-Straße;45;Parkplatz;Ärztehaus;3;
Emmastraße;20;;Jugendberufshilfe;1;
Erkrather Straße ;107;;Einkaufsbereich;1;8:30 - 20:00
Erkrather Straße ;182;;B8-Center;1;
Erkrather Straße ;;Kölner Straße;Verwaltungsgebäude;2;Mo. - Fr. 7 - 18:00
Ernst-Reuter-Platz;;;Ambulantes Reha-Zentrum;2;Mo. - Fr. 8 - 16:00
Fehmarnstraße;;Wendehammer;Verwaltungsnebenstelle;1;Mo. - Fr. 7 - 15:30
Fleher Straße;1;;Beratungsstelle;1;
Fliedener Straße ;5;gegenüber;Arztpraxis;1;Mo. - Fr. 8 - 18:00
Fliednerstraße;16;gegenüber;Diakonie;1;
Frankfurter Straße;231;;Polizeiwache;2;
Frankfurter Straße;;;Stadtbücherei;2;
Friedensstraße;67 A;;;1;
Friedhofstraße ;21;gegenüber;Friedhof / Einkaufsbereich;2;
Friedrich-Ebert-Straße;20;;Stadtmitte;1;
Friedrich-Lau-Straße;;;Golzheimer Klinik;2;
Friedrichstraße;148;;Sanitätshaus;1;
Friesenstraße;54;Stichstraße neben St. Antonius;Kirche St. Antonius;1;
Fritz-Erler-Straße;21;;Freizeitstätte;1;
Fröhlenstraße;6;;Einkaufszentrum;1;
Fruchtstraße;4;gegenüber;Kirche;1;
Fürstenwall;25;;Ministerium;3;8 - 17:00
Fürstenwall;93;;Seniorenwohnheim;2;
Fürstenwall;122;;Sozialverband;2;
Fürstenwall;;Zufahrt zum Studienhaus;Studienhaus;2;
Fürstenwall;128-132;;VDK Landes-Vorst.;2;
Gartenstraße;2;;Versicherung;1;
Gerresheimer Landstraße;111;;Arztpraxen - Friedhof;1;werktags 8 - 18:00
Gerresheimer Landstraße;119;;Arztpraxen - Friedhof;1;werktags 8 - 18:00
Gerresheimer Straße;130;;Arztpraxis;1;
Gerresheimer Straße;169;;Diakonie;1;Mo. - Fr. 8 - 18:00
Gerresheimer Straße;8 - 9;;ASG-Bildungsforum;2;
Gerricusstraße;;;Kirche;2;8 - 13:00
Gladbacher Straße;6-9;;Praxis für Physiotherapie;1;
Glockenstraße;35;Adresse Münsterstraße 102 - Parken Rheinbabenstraße oder Parkhaus Glockenstraße;Münstercenter;1;Mo. - Fr. 8 - 18:00
Goltsteinstraße;29;;Dialysezentrum Jacobistraße;1;
Goltsteinstraße;;Kurve Bleichstraße;Schauspielhaus;2;
Golzheimer Straße;120;;Arztpraxis;1;Mo. - Fr. 8 - 19:00
Golzheimer Straße;130;;Arztpraxis;1;Mo. - Fr. 8 - 18:00
Graf-Adolf-Straße;24;;Ärztehaus;1;
Graf-Adolf-Straße;83;;Einkaufsbereich;1;8 - 17:00
Graf-Adolf-Straße;93;;Finanzamt D/ME;2;8 - 17:00
Grafenberger Allee;135;;Arztpraxen;1;Mo. - Fr. 8 - 18:00
Grafenberger Allee;192;;Arztpraxis;1;
Grafenberger Allee;271;;Praxis für Physiotherapie;1;Mo. - Fr. 12 - 17:00
Grafenberger Allee;114/116;;allgemeiner Bedarf;1;Mo. - Fr. 6 - 15:00
Großer Torfbruch;;Parkplatz;Strandbad Nord;4;
Grunerstraße;46;gegenüber;Lebenshilfe;1;Mo. - Fr. 9 - 19:00
Gumbertstraße;156;;Einkaufsbereich;2;werktags 7 - 19:00
Gumbertstraße;;;S-Bahnhof Eller-Mitte;2;
Hans-Böckler-Straße;36;;Finanzamt-Nord;1;Mo. - Fr 7 - 17:00h
Harffstraße ;51;;Praxis für Physiotherapie;2;Mo. - Fr. 8 - 18:00
Hasselsstraße;34;neben Eingang Kapelle;Friedhof;1;
Hasselsstraße;58;;Einkaufszentrum;1;werktags 8 - 18:00
Hasselsstraße;70;;Ambulante Pflege;1;Mo. - Fr. 9 - 17:00
Hatzfeldstraße;28;;Einkaufszentrum;1;
Heidelberger Straße;75;;Stadtbad Eller;1;
Helmholtzstraße;17;;REHA-Ambulanz;2;Mo. - Fr. 8 - 17:00
Helmholtzstraße;38;;Innenstadt / St. Antonius;1;
Henkelstraße;5;;Einkaufszentrum;2;
Henkelstraße;16;gegenüber;Einkaufszentrum;2;
Hermann-Reuter-Straße;16;;Neubaugebiet;1;
Herzogstraße;86;;Praxis für Physiotherapie;1;Mo. - Fr. 7 - 18:00
Herzogstraße;95;;Arztpraxis;1;Mo. - Fr. 8 - 18:00
Heyestraße;77;;Einkaufszentrum;1;
Heyestraße;77;;Arztpraxis;1;Mo. - Fr. 7 - 17:00
Hildebrandtstraße;22 a;;Reha-Zentrum;1;8 - 19:00
Hildener Straße;55;;Einkaufszentrum;2;Mo. - Fr. 8 - 18:00
Himmelgeister Straße;115;;Sanitätshaus;1;Mo. - Fr. 8 - 17:00
Hohenzollernstraße;1-3;;Gemeinschaftspraxis;2;Mo. - Fr. 7 - 19:00
Höherweg;100;;Stadtwerke;2;
Horionplatz;;;Ministerien;2;
Hugo-Viehoff-Straße;82;;Verwaltungsgebäude;1;Mo. - Fr. 8 - 14:00
Hüttenstraße;40;;Arztpraxis;1;Mo. - Fr. 7 - 17:00
Im Dahlacker;;;Seniorenwohnheim;1;8 - 18:00
Im Spich;54;;Kirche;1;
Immermannstraße;10;;Ärzthaus / Innenstadt;2;
Immermannstraße;26;;Innenstadt;1;
In den Großen Banden;;;WfaA - Cafe;3;
In den Großen Banden;;;Piel's Kull Kleingartenverein;2;
Industriestraße;7;;Seniorenwohnpark;1;8 - 18:00
Inselstraße;17;gegenüber;Standesamt;1;
Irmerstraße;12;;Begegnungsstätte;1;
Itterstraße;9;;Einkaufsbereich;1;
Itterstraße;25;;Einkaufsbereich;1;Mo. - Fr. 8 - 19:00
Itterstraße;116;;Friedhof;2;
Jacobistraße;6 a;;Parkplatz Malkasten;1;
Jülicher Straße;70;gegenüber - Kirchenvorplatz;Kirche;2;
Jülicher Straße;17/19;;Orthopädietechnik;2;9 - 19:00
Kaiser-Friedrich-Ring ;23;Lotharstraße;Massagepraxis;1;Mo. - Fr. 7 - 20:00
Kaiserswerther Markt;24;;Stadtbücherei;1;Mo. - Fr. 9 - 19:00
Kaiserswerther Markt;32;;Diakonie;1;
Kaiserswerther Straße;8;hinter;Einkaufszentrum;2;
Kaiserswerther Straße;62;;Kirche;2;Sa. 17 - 19:00 - So. 10 - 12:00
Kaiserswerther Straße;93;;Ärztehaus;1;Mo. - Fr. 8 - 20:00
Kaiserswerther Straße;281;;Einkaufsbereich;1;
Kaiserswerther Straße;411;Am Hain;Einkaufszentrum;1;
Kalkumer Straße;70;;Postfiliale;1;
Kalkumer Straße;148;;Einkaufszentrum;1;Mo. - Fr. 8.30 - 18:30
Kalkumer Straße;151;;Praxis für Physiotherapie;1;Mo. - Fr. 9 - 19:00
Kasernenstraße;1;;Innenstadt;1;
Kasernenstraße;57;gegenüber;Krankenkasse;2;
Kirchfeldstraße;35;;Krankenhaus;1;Mo. - Fr. 8 - 18:00
Klosterstraße;20;;Krankenkasse;1;
Klosterstraße;35;;Arztpraxis;1;Mo. - Fr. 8 - 18:00
Klosterstraße;79;;Konsulat;2;Mo. - Fr. 8 - 18:00
Koblenzer Straße;25;;Massagepraxis;1;Mo. - Fr. 9 - 19:00
Kölner Landstraße;169;;DRK-Zentrum;1;
Kölner Landstraße;176;;Matthias-Claudius-Heim;1;7 - 19:00
Kölner Landstraße; 264;;Caritas Beratungsstelle;1;Mo. - Do. 8 - 19:00 - Fr. 8 - 15:00
Kölner Straße ;7;;Arztpraxis / Innenstadt;1;
Kölner Straße ;133;;Sozialverband Deutschland e.V.;2;Mo. - Fr. 8 - 18:00
Kölner Straße ;275;;Ärztehaus;1;Mo. - Fr. 9 - 17:00
Kölner Straße ;41 c;;Orthopädietechnik;1;Mo. - Fr. 9 - 18:00
Kölner Tor;30;;Geschäftsstraße;1;8 - 19:00
Königsallee;14;Baustelle - nicht nutzbar;Kö / Stadtmitte;1;
Königsallee;19;;Kö / Stadtmitte;1;
Königsallee;45;gegenüber;Kö / Stadtmitte;6;
Königsallee;48;;Kö / Stadtmitte;1;9 - 20:00
Königsallee;2 b;;Kö-Bogen;;
Kopernikusstraße;9a;;Kirche;1;Mo. - Fr. 19 - 21:00 - So. 10:30 - 13:00
Kruppstraße;22;;Praxis für Physiotherapie;1;Mo. - Fr. 8 - 18:00
Kündgensweg;20;gegenüber;Lebenshilfe Kita;2;Mo. - Fr. 7 - 9:00 und 14 - 17:00
Kurfürstenstraße;30;;Innenstadt;1;
Kurt-Baurichter-Straße;5;;Oberlandesgericht;1;
Leichlinger Straße;61;;Betreutes Wohnen;1;
Leopoldstraße;1 a;gegenüber;Innenstadt;1;
Lichtstraße;;Gehweg - Ecke GBA 275a;Arztpraxis;1;Mo. - Fr. 9 - 19:00
Lierenfelder Straße;51;;DAA Nordrhein;2;
Liesegangstraße;14;gegenüber;Einkaufsbereich;1;werktags 9 - 20:00
Lindenstraße;176;;Kindertagesstätte;2;Mo. - Fr. 8 - 18:00
Linienstraße;66;;Pflegedienst;1;8 - 22:00
Lorettostraße;19;;Therapiezentrum / Arztpraxis;1;
Ludwig-Zimmermann-Straße;3;;Opernhaus;2;
Luegallee;4;;Arztpraxis;1;Mo. - Fr. 8 - 18:00
Luegallee;12;;Arztpraxen und Physiotherapie;1;Mo. - Fr. 8 - 19:00
Luegallee;112;;Arztpraxen;1;
Luisenstraße;;;Kammerspiele;2;19 - 23:00
Marienstraße;8;Berliner Allee;Deutsche Bundesbank;1;Mo. - Fr. 8 - 17:00
Mauerstraße;51;;Verwaltungsgebäude;1;Mo. - Fr. 7 - 16:00
Moskauer Straße;25;;Städtische Einrichtung;2;Mo. - Fr. 7 - 17:00
Mühlenstraße;3;;Altstadt;4;
Münster Straße;332;;Einrichtung Hilfe für Behinderte;1;
Münster Straße;508;;öffentl. Verwaltung;1;
Neunzigstraße;1-3;;Arztpraxen / Einkaufsbereich;1;
